category_name,total_products,avg_price,avg_stars,total_reviews,total_bought_last_month,avg_popularity_score,best_seller_count
"Xbox Series X & S Consoles, Games & Accessories",5645,25.65725597874225,1.9348804251550045,0.0,42300.0,0.008910540301151463,4
Laptop Bags,5618,52.80036667853329,3.828675685297259,0.0,19200.0,0.0034175863296546814,0
Stuffed Animals & Plush Toys,5398,21.427376806224526,4.376454242311967,0.0,353750.0,0.06664505372360133,3
"Paint, Wall Treatments & Supplies",5330,23.6594521575985,4.24031894934334,0.0,327650.0,0.06560037523452159,11
Video Games,5310,53.633487758945385,4.3157815442561205,12085813.0,923450.0,26.364355552418296,85
Heavy Duty & Commercial Vehicle Equipment,5187,49.67768459610565,3.4127626759205705,0.0,12100.0,0.0027183342972816656,1
Measuring & Layout,5163,66.10151268642262,4.051346116598876,0.0,172250.0,0.03723610304086771,10
Janitorial & Sanitation Supplies,5138,40.61763526664072,4.271370182950564,0.0,965100.0,0.2037952510704554,41
"PlayStation 5 Consoles, Games & Accessories",5136,32.55142912772586,1.994314641744548,36123.0,23750.0,0.1562847530055763,0
Virtual Reality Hardware & Accessories,5104,107.11350509404387,0.9172413793103449,0.0,1850.0,0.00036246081504702195,0
PC Games & Accessories,5069,56.330597751035704,3.9501282304202014,0.0,36850.0,0.009637009272045768,6
Kitchen & Dining,4882,26.417576812781647,4.544674313805817,0.0,10432300.0,2.2511880376894715,279
Home Audio & Theater Products,4826,73.78809365934522,4.348300870285952,0.0,42750.0,0.01673228346456693,19
Baby,4825,18.166899481865283,4.407813471502591,0.0,363350.0,0.0997616580310881,59
Wellness & Relaxation Products,4758,32.37477511559479,4.308827238335436,9183758.0,1744300.0,25.67483894401902,41
Retail Store Fixtures & Equipment,4719,24.1651578724306,4.159186268277177,0.0,247050.0,0.059133290951472774,16
Kids' Play Cars & Race Cars,4689,22.367739390061846,3.61104713158456,0.0,112550.0,0.024429515888249095,1
Baby Safety Products,4668,30.610443444730073,3.5317480719794347,0.0,391750.0,0.08777849185946872,9
Sexual Wellness Products,4547,26.292984385308994,4.038486914449087,0.0,1406700.0,0.32696283263690346,40
